Presenter Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Title,Is It a Poster Submission?,Poster
Ahmad Amiruddin ,ahmad-amiruddin,62825324e9d189b2f858c8aa,628257b8c53312a64c4dab9a,Mon May 16 2022 13:55:04 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:55:04 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),OPTIMAL ENERGY STORAGE CONFIGURATION FOR INDONESIA,false,
Andrian Haro,andrian-haro,62825324e9d189b2f858c8aa,6282579aa173444460cee429,Mon May 16 2022 13:54:34 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:54:34 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),THE IMPLEMENTATION OF GREEN PRODUCTS TO ACHIEVE SUSTAINABLE CONSUMPTION AND PRODUCTION,false,
Angela Septaria Mentari Manao,angela-septaria-mentari-manao,62825324e9d189b2f858c8aa,6282571ac3258bb5f042544c,Mon May 16 2022 13:52:26 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:52:26 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),PROMOTING SEL CURRICULUM TO COPE WITH BULLYING TO ACHIEVE SDGs ON EDUCATION AREA,false,
Anisa Luthfiah ,anisa-luthfiah,62825324e9d189b2f858c8aa,62825754e2858c88e803f6ae,Mon May 16 2022 13:53:24 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:53:24 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),SAFE SPACE FOR ANTI-VIOLENCE TO ACHIEVE SUSTAINABLE DEVELOPMENT GOALS ON EDUCATION,false,
Ardian Rizki Serda Ginata,ardian-rizki-serda-ginata,62825324e9d189b2f858c8aa,62825966c2d1b52f6f85b9c7,Mon May 16 2022 14:02:14 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:02:14 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),TRANSFORMING DIGITAL ECONOMY OF MSMEs THROUGH E-CATALOG BASED PENTAHELIX MODEL STRATEGY IN INDONESIA POST-PANDEMIC,true,https://uploads-ssl.webflow.com/626d465ae9c905f6445ed45c/6282595e3e3e1178d4f5a102_0001.jpg
Belinda Azzahra ,belinda-azzahra,62825324e9d189b2f858c8aa,628257f45fdee88e37c496b6,Mon May 16 2022 13:56:04 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:56:04 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),INTEGRATED REPORTING ADOPTION : FUTURE CORPORATE SUSTAINABILITY STRATEGY IN ACHIEVING SDG 2030,false,
Dahlan,dahlan,62825324e9d189b2f858c8aa,6282571080bb8bc981846911,Mon May 16 2022 13:52:16 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:52:16 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),IMPROVING THE CURRICULUM OF TEACHER PROFESSIONAL EDUCATION TO ENHANCE TEACHERS’ COMPETENCY IN TEACHING 21ST -CENTURY SKILLS,false,
David Firnando Silalahi,david-firnando-silalahi,62825324e9d189b2f858c8aa,628257aed68711213bfba9e8,Mon May 16 2022 13:54:54 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:54:54 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),"A ZERO-CARBON, RELIABLE, AND AFFORDABLE ENERGY FUTURE IN INDONESIA",false,
Dedy Setyawan ,dedy-setyawan,62825324e9d189b2f858c8aa,628259af18a4949e31dd51db,Mon May 16 2022 14:03:27 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:03:27 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),THE IMPACT OF TOXIC MASCULINITY ON MEN'S HEALTH BEHAVIORS (CASE STUDY: DEPRESSION AND OBEDIENCE TO HEALTH PROTOCOLS DURING COVID-19 PANDEMIC),false,
Denny Gunawan,denny-gunawan,62825324e9d189b2f858c8aa,6282576849a6075eb58f44e2,Mon May 16 2022 13:53:44 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:53:44 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),HARNESSING SOLAR ENERGY THROUGH PHOTOCATALYSIS FOR INDONESIA’S SUSTAINABLE FUTURE,false,
Ferdian Fadly ,ferdian-fadly,62825324e9d189b2f858c8aa,628257eae2858cbb5f03f808,Mon May 16 2022 13:55:54 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 13:55:54 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 14:40:49 GMT+0000 (Coordinated Universal Time),ROLE OF INTERNET ACCESS ON POVERTY ALLEVIATION IN INDONESIA USING BAYESIAN APPROACH,false,
